papername,papercite,year,category,planner,creator,critic,context_manager,data_profiling,data_integration,data_transformation,spacial_substrate,graphical_elements,graphical_properties,spacial_navigation,hierarchy_drilling,multi_view,annotation,summarization,storytelling,multi_term_dialogue,multi_modality
Sevi,tang2022SeviSpeechtoVisualizationNeural,2022,L1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
ncNet,luo2022NaturalLanguageVisualization,2022,L1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
FlowForge,flowforge2026,2026,L4,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
ProactiveVA,proactiveVA2026,2026,L4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
CoDA,chen2025codaagenticsystemscollaborative,2025,L3,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0
Gyarmati et al.,gyarmati2025composableagenticautomatedvisual,2025,L3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0
LightVA,zhao2025LightVALightweightVisual,2025,L4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
VizTA,vizTA2025,2025,L2,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1
Shao et al.,shao2025dolanguagemodelagents,2025,L2,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
AVA,ava2024,2024,L3,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1
